title,authors,description,published_date
Global Debates in the Digital Humanities,"Domenico Fiormonte,Sukanta Chaudhuri,Paola Ricaurte","A necessary volume of essays working to decolonize the digital humanities Often conceived of as an all-inclusive “big tent,” digital humanities has in fact been troubled by a lack of perspectives beyond Westernized and Anglophone contexts and assumptions. This latest collection in the Debates in the Digital Humanities series seeks to address this deficit in the field. Focused on thought and work that has been underappreciated for linguistic, cultural, or geopolitical reasons, contributors showcase alternative histories and perspectives that detail the rise of the digital humanities in the Global South and other “invisible” contexts and explore the implications of a globally diverse digital humanities. Advancing a vision of the digital humanities as a space where we can reimagine basic questions about our cultural and historical development, this volume challenges the field to undertake innovation and reform. Contributors: Maria José Afanador-Llach, U de los Andes, Bogotá; Maira E. Álvarez, U of Houston; Purbasha Auddy, Jadavpur U; Diana Barreto Ávila, U of British Columbia; Deepti Bharthur, IT for Change; Sayan Bhattacharyya, Singapore U of Technology and Design; Anastasia Bonch-Osmolovskaya, National Research U Higher School of Economics; Jing Chen, Nanjing U; Carlton Clark, Kazimieras Simonavičius U, Vilnius; Carolina Dalla Chiesa, Erasmus U, Rotterdam; Gimena del Rio Riande, Institute of Bibliographic Research and Textual Criticism; Leonardo Foletto, U of São Paulo; Rahul K. Gairola, Murdoch U; Sofia Gavrilova, Leibniz Institute for Regional Geography; Andre Goodrich, North-West U; Anita Gurumurthy, IT for Change; Aliz Horvath, Eötvös Loránd U; Igor Kim, Russian Academy of Sciences; Inna Kizhner, Siberian Federal U; Cédric Leterme, Tricontinental Center; Andres Lombana-Bermudez, Pontificia, U Javeriana, Bogotá; Lev Manovich, City U of New York; Itay Marienberg-Milikowsky, Ben-Gurion U of the Negev; Maciej Maryl, Polish Academy of Sciences; Nirmala Menon, Indian Institute of Technology, Indore; Boris Orekhov, National Research U Higher School of Economics; Ernesto Priego, U of London; Sylvia Fernández Quintanilla, U of Kansas; Nuria Rodríguez-Ortega, U of Málaga; Steffen Roth, U of Turku; Dibyadyuti Roy, Indian Institute of Technology, Jodhpur; Maxim Rumyantsev, Siberian Federal U; Puthiya Purayil Sneha, Centre for Internet and Society, Bengaluru; Juan Steyn, South African Centre for Digital Language Resources; Melissa Terras, U of Edinburgh; Ernesto Miranda Trigueros, U of the Cloister of Sor Juana; Lik Hang Tsui, City U of Hong Kong; Tim Unwin, U of London; Lei Zhang, U of Wisconsin–La Crosse.",2022-04-12
Heritage and Digital Humanities,Bernadette Saou-Dufrene,"The symposium ""Heritage and Digital Humanities,"" organized by the Labex ArtsH2H (Paris 8-Paris Ouest University), together with the French national archives and the Bibliotheque Nationale de France - on the occasion of the inauguration of the university's master's degree for ""Cultural Mediation, Heritage and Digital Technologies"" - was the first occasion to look for potential links between an emerging discipline in quest of its identity, digital humanities, and concepts of heritage, which have undergone renewal and been democratized through technical, social, and political changes. This book brings together contributions from professionals at such 'heritage' institutions, as well as from academics. (Series: Communication Studies / Kommunikationswissenschaft - Vol. 4) [Subject: Cultural Studies, Information Technology]",2014
Reconceptualizing the Digital Humanities in Asia,Kaby Wing-Sze Kung,"This book examines new forms of representation that have changed our perception and interpretation of the humanities in an Asian, and digital, context. In analyzing written and visual texts, such as the use of digital technology and animation in different works of art originating from Asia, the authors demonstrate how literature, history, and culture are being redefined in spatialized relations amid the trend of digitization. Research studies on Asian animation are in short supply, and so this volume provides new and much needed insights into how art, literature, history, and culture can be presented in innovative ways in the Asian digital world. The first section of this volume focuses on the new conceptualization of the digital humanities in art and film studies, looking at the integration of digital technologies in museum narration and cinematic production. The second section of the volume addresses the importance of framing these discussions within the context of gender issues in the digital world, discussing how women are represented in different forms of social media. The third and final section of the book explores the digital world’s impacts on people’s lives through different forms of digital media, from the electromagnetic unconscious to digital storytelling and digital online games. This book presents a novel contribution to the burgeoning field of the digital humanities by informing new forms of representation and interpretations, and demonstrating how digitization can influence and change cultural practices in Asia, and globally. It will be of interest to students and scholars interested in digitization from the full spectrum of humanities disciplines, including art, literature, film, music, visual culture, media, and animation, gaming, and Internet culture. ""This is a well-written book, and I enjoyed reading it. The first impression of the book is that it is very innovative - a down-to-the-earth academic volume that discusses digital culture."" - Professor Anthony Fung, Professor, Director, School of Journalism and Communication, The Chinese University of Hong Kong ""This book has contributed to the existing field of humanities by informing new forms of representation and interpretations, and how digitization may change cultural practices. There is comprehensive information on how the humanities in the digital age can be applied to a wide range of subjects including art, literature, film, pop music, music videos, television, animation, games, and internet culture."" - Dr Samuel Chu, Associate Professor, The Faculty of Education, The University of Hong Kong",2020-09-09
Digital Humanities and New Ways of Teaching,Anna Wing-bo Tso,"This volume includes a variety of first-hand case studies, critical analyses, action research and reflective practice in the digital humanities which ranges from digital literature, library science, online games, museum studies, information literacy to corpus linguistics in the 21st century. It informs readers of the latest developments in the digital humanities and their influence on learning and teaching. With the growing advancement of digital technology, humanistic inquiries have expanded and transformed in unfathomable complexity as new content is being rapidly created. The emergence of electronic archiving, digital scholarship, digitized pedagogy, textual digitization and software creation has brought about huge impacts on both humanities subjects and the university curricula in terms of nature, scope and design. This volume provides insights into what these technological changes mean for all the stakeholders involved and for the ways in which humanities subjects are understood. Part 1 of this volume begins with a broad perspective on digital humanities and discusses the current status of the field in Asia, Canada and Europe. Then, with a special focus on new literacies, educational implications, and innovative research in the digital humanities, Parts 2-4 explore how digital technology revolutionizes art forms, curricula, and pedagogy, revealing the current practices and latest trends in the digital humanities. Written by experts and researchers across Asia, Australia, Canada and Europe, this volume brings global insights into the digital humanities, particularly in the education aspect. It is of interest to researchers and students of cultural studies, literature, education, and technology studies. The strongest point of this collection of work is that, it brings important concepts to the study of digital literacies, for example, looking at it from the perspective of new literacies, languages and education. Daniel Churchill, Associate Professor, Faculty of Education, The University of Hong Kong With a rapidly growing advancement in digital tools, this book has made a relevant contribution by informing readers what the latest development of these tools are, and discusses how they can aid research, libraries, education and even poets across different continents. Samuel Kai-wah Chu, Associate Professor, Faculty of Education, The University of Hong Kong",2019-01-10
The Historical Web and Digital Humanities,"Niels Brügger,Ditte Laursen","The Historical Web and Digital Humanities fosters discussions between the Digital Humanities and web archive studies by focussing on one of the largest entities of the web, namely national and transnational web domains such as the British, French, or European web. With a view to investigating whether, and how, web studies and web historiography can inform and contribute to the Digital Humanities, this volume contains a number of case studies and methodological and theoretical discussions that both illustrate the potential of studying the web, in this case national web domains, and provide an insight into the challenges associated with doing so. Commentary on and possible solutions to these challenges are debated within the chapters and each one contributes in its own way to a web history in the making that acknowledges the specificities of the archived web. The Historical Web and Digital Humanities will be essential reading for those with an interest in how the past of the web can be studied, as well as how Big Data approaches can be applied to the archived web. As a result, this volume will appeal to academics and students working and studying in the fields of Digital Humanities, internet and media studies, history, cultural studies, and communication.",2019-03-07
Advancing Digital Humanities,"P. Arthur,K. Bode","Advancing Digital Humanities moves beyond definition of this dynamic and fast growing field to show how its arguments, analyses, findings and theories are pioneering new directions in the humanities globally.",2014-12-03
Reading Modernism with Machines,"Shawna Ross,James O'Sullivan","This book uses the discipline-specific, computational methods of the digital humanities to explore a constellation of rigorous case studies of modernist literature. From data mining and visualization to mapping and tool building and beyond, the digital humanities offer new ways for scholars to questions of literature and culture. With the publication of a variety of volumes that define and debate the digital humanities, we now have the opportunity to focus attention on specific periods and movements in literary history. Each of the case studies in this book emphasizes literary interpretation and engages with histories of textuality and new media, rather than dwelling on technical minutiae. Reading Modernism with Machines thereby intervenes critically in ongoing debates within modernist studies, while also exploring exciting new directions for the digital humanities—ultimately reflecting on the conjunctions and disjunctions between the technological cultures of the modernist era and our own digital present.",2016-11-30
Bodies of Information,"Elizabeth Losh,Jacqueline Wernimont","A wide-ranging, interconnected anthology presents a diversity of feminist contributions to digital humanities In recent years, the digital humanities has been shaken by important debates about inclusivity and scope—but what change will these conversations ultimately bring about? Can the digital humanities complicate the basic assumptions of tech culture, or will this body of scholarship and practices simply reinforce preexisting biases? Bodies of Information addresses this crucial question by assembling a varied group of leading voices, showcasing feminist contributions to a panoply of topics, including ubiquitous computing, game studies, new materialisms, and cultural phenomena like hashtag activism, hacktivism, and campaigns against online misogyny. Taking intersectional feminism as the starting point for doing digital humanities, Bodies of Information is diverse in discipline, identity, location, and method. Helpfully organized around keywords of materiality, values, embodiment, affect, labor, and situatedness, this comprehensive volume is ideal for classrooms. And with its multiplicity of viewpoints and arguments, it’s also an important addition to the evolving conversations around one of the fastest growing fields in the academy. Contributors: Babalola Titilola Aiyegbusi, U of Lethbridge; Moya Bailey, Northeastern U; Bridget Blodgett, U of Baltimore; Barbara Bordalejo, KU Leuven; Jason Boyd, Ryerson U; Christina Boyles, Trinity College; Susan Brown, U of Guelph; Lisa Brundage, CUNY; micha cárdenas, U of Washington Bothell; Marcia Chatelain, Georgetown U; Danielle Cole; Beth Coleman, U of Waterloo; T. L. Cowan, U of Toronto; Constance Crompton, U of Ottawa; Amy E. Earhart, Texas A&M; Nickoal Eichmann-Kalwara, U of Colorado Boulder; Julia Flanders, Northeastern U Library; Sandra Gabriele, Concordia U; Brian Getnick; Karen Gregory, U of Edinburgh; Alison Hedley, Ryerson U; Kathryn Holland, MacEwan U; James Howe, Rutgers U; Jeana Jorgensen, Indiana U; Alexandra Juhasz, Brooklyn College, CUNY; Dorothy Kim, Vassar College; Kimberly Knight, U of Texas, Dallas; Lorraine Janzen Kooistra, Ryerson U; Sharon M. Leon, Michigan State; Izetta Autumn Mobley, U of Maryland; Padmini Ray Murray, Srishti Institute of Art, Design, and Technology; Veronica Paredes, U of Illinois; Roopika Risam, Salem State; Bonnie Ruberg, U of California, Irvine; Laila Shereen Sakr (VJ Um Amel), U of California, Santa Barbara; Anastasia Salter, U of Central Florida; Michelle Schwartz, Ryerson U; Emily Sherwood, U of Rochester; Deb Verhoeven, U of Technology, Sydney; Scott B. Weingart, Carnegie Mellon U.",2019-01-08
Routledge International Handbook of Research Methods in Digital Humanities,"Kristen Schuster,Stuart Dunn","This book draws on both traditional and emerging fields of study to consider consider what a grounded definition of quantitative and qualitative research in the Digital Humanities (DH) might mean; which areas DH can fruitfully draw on in order to foster and develop that understanding; where we can see those methods applied; and what the future directions of research methods in Digital Humanities might look like. Schuster and Dunn map a wide-ranging DH research methodology by drawing on both ‘traditional’ fields of DH study such as text, historical sources, museums and manuscripts, and innovative areas in research production, such as knowledge and technology, digital culture and society and history of network technologies. Featuring global contributions from scholars in the United Kingdom, the United States, Europe and Australia, this book draws together a range of disciplinary perspectives to explore the exciting developments offered by this fast-evolving field. Routledge International Handbook of Research Methods in Digital Humanities is essential reading for anyone who teaches, researches or studies Digital Humanities or related subjects.",2020-08-24
Digital Humanities and Film Studies,Adelheid Heftberger,"This book highlights the quantitative methods of data mining and information visualization and explores their use in relation to the films and writings of the Russian director, Dziga Vertov. The theoretical basis of the work harkens back to the time when a group of Russian artists and scholars, known as the “formalists,” developed new concepts of how art could be studied and measured. This book brings those ideas to the digital age. One of the central questions the book intends to address is, “How can hypothetical notions in film studies be supported or falsified using empirical data and statistical tools?” The first stage involves manual and computer-assisted annotation of the films, leading to the production of empirical data which is then used for statistical analysis but more importantly for the development of visualizations. Studies of this type furthermore shed light on the field of visual presentation of time-based processes; an area which has its origin in the Russian formalist sphere of the 1920s and which has recently gained new relevance due to technological advances and new possibilities for computer-assisted analysis of large and complex data sets. In order to reach a profound understanding of Vertov and his films, the manual or computer-assisted data analysis must be combined with film-historical knowledge and a study of primary sources. In addition, the status of the surviving film materials and the precise analysis of these materials combined with knowledge of historical film technology provide insight into archival policy and political culture in the Soviet Union in the 1920s and 30s.",2019-01-02
Disrupting the Digital Humanities,"Dorothy Kim,Jesse Stommel","""All too often, defining a discipline becomes more an exercise of exclusion than inclusion. Disrupting the Digital Humanities seeks to rethink how we map disciplinary terrain by directly confronting the gatekeeping impulse of many other so-called field-defining collections. What is most beautiful about the work of the Digital Humanities is exactly the fact that it can’t be tidily anthologized. In fact, the desire to neatly define the Digital Humanities (to filter the DH-y from the DH) is a way of excluding the radically diverse work that actually constitutes the field. This collection, then, works to push and prod at the edges of the Digital Humanities — to open the Digital Humanities rather than close it down. Ultimately, it’s exactly the fringes, the outliers, that make the Digital Humanities both heterogeneous and rigorous. This collection does not constitute yet another reservoir for the new Digital Humanities canon. Rather, its aim is less about assembling content as it is about creating new conversations. Building a truly communal space for the digital humanities requires that we all approach that space with a commitment to: 1) creating open and non-hierarchical dialogues; 2) championing non-traditional work that might not otherwise be recognized through conventional scholarly channels; 3) amplifying marginalized voices; 4) advocating for students and learners; and 5) sharing generously and openly to support the work of our peers.""--Back cover.",2018
Digital Humanities and Libraries and Archives in Religious Studies,Clifford B. Anderson,"How are digital humanists drawing on libraries and archives to advance research and learning in the field of religious studies and theology? How can librarians and archivists make their collections accessible to digital humanists? The goal of this volume is to provide an overview of how religious and theological libraries and archives are supporting the nascent field of digital humanities in religious studies. The volume showcases the perspectives of faculty, librarians, archivists, and allied cultural heritage professionals who are drawing on primary and secondary sources in innovative ways to create digital humanities projects in theology and religious studies. Topics include curating collections as data, conducting stylometric analyses of religious texts, and teaching digital humanities at theological libraries. The shift to digital humanities promises closer collaborations between scholars, archivists, and librarians. The chapters in this volume constitute essential reading for those interested in the future of theological librarianship and of digital scholarship in the fields of religious studies and theology.",2022-02-07
Transformative Digital Humanities,Taylor & Francis Group,"Transformative Digital Humanities takes a two-pronged approach to the digital humanities: it examines the distinct kinds of work currently being undertaken in the field, while also addressing current issues in the digital humanities, including sustainability, accessibility, interdisciplinarity, and funding. With contributions from humanities and LIS scholars based in China, Canada, England, Germany, Spain, and the United States, this collection of case studies provides a framework for readers to develop new projects as well as to see how existing projects might continue to develop over time. This volume also participates in the current digital humanities conversation by bringing forward emerging voices that offer new options for cooperation, by demonstrating how the digital humanities can become a tool for activism, and by illustrating the potential of the digital humanities to reexamine and reconstitute existing canons. Transformative Digital Humanities considers what sorts of challenges still exist in the field and suggests how they might be addressed. As such, the book will be essential reading for academics and students engaged in the study of information science and digital humanities. It should also be of great interest to practitioners around the globe.",2021-12-13
Digital Libraries and the Challenges of Digital Humanities,Jeffrey Rydberg-Cox,"One of the major challenges facing librarians and curators of digital repositories are the innovative ‘born digital’ documents created by scholars in the humanities. These documents range from the parsed corpora created by linguists to traditional reference information presented in electronic databases, to rich, multi-media hypertexts combining audio, still and moving video and text, and many other sorts of material. Too often, librarians think of electronic resources solely as providing access to subscription databases. This book encourages librarians to think holistically of the life cycle of electronic resources from new items being created at their institution, to end-user access, to long term preservation of digital resources. Focuses on role of a digital library in the complete life cycle (creation, access, long term preservation) of digital objects created by scholars in the humanities Covers recent developments in humanities computing and their implications for digital libraries Presents accessible technical information about fields such as information retrieval and computational linguistics for a non-technical audience",2005-11-30
The Digital Humanities and Islamic & Middle East Studies,Elias Muhanna,"Over the past few decades, humanistic inquiry has been problematized and invigorated by the emergence of what is referred to as the digital humanities. Across multiple disciplines, from history to literature, religious studies to philosophy, archaeology to music, scholars are tapping the extraordinary power of digital technologies to preserve, curate, analyze, visualize, and reconstruct their research objects. The study of the Middle East and the broader Islamic world has been no less impacted by this new paradigm. Scholars are making daily use of digital tools and repositories including private and state-sponsored archives of textual sources, digitized manuscript collections, densitometrical imaging, visualization and modeling software, and various forms of data mining and analysis. This collection of essays explores the state of the art in digital scholarship pertaining to Islamic & Middle Eastern studies, addressing areas such as digitization, visualization, text mining, databases, mapping, and e-publication. It is of relevance to any researcher interested in the opportunities and challenges engendered by this changing scholarly ecosystem.",2016-03-21
Digital Curation in the Digital Humanities,Arjun Sabharwal,"Archives and special collections departments have a long history of preserving and providing long-term access to organizational records, rare books, and other unique primary sources including manuscripts, photographs, recordings, and artifacts in various formats. The careful curatorial attention to such records has also ensured that such records remain available to researchers and the public as sources of knowledge, memory, and identity. Digital curation presents an important framework for the continued preservation of digitized and born-digital collections, given the ephemeral and device-dependent nature of digital content. With the emergence of analog and digital media formats in close succession (compared to earlier paper- and film-based formats) came new standards, technologies, methods, documentation, and workflows to ensure safe storage and access to content and associated metadata. Researchers in the digital humanities have extensively applied computing to research; for them, continued access to primary data and cultural heritage means both the continuation of humanities scholarship and new methodologies not possible without digital technology. Digital Curation in the Digital Humanities, therefore, comprises a joint framework for preserving, promoting, and accessing digital collections. This book explores at great length the conceptualization of digital curation projects with interdisciplinary approaches that combine the digital humanities and history, information architecture, social networking, and other themes for such a framework. The individual chapters focus on the specifics of each area, but the relationships holding the knowledge architecture and the digital curation lifecycle model together remain an overarching theme throughout the book; thus, each chapter connects to others on a conceptual, theoretical, or practical level. theoretical and practical perspectives on digital curation in the digital humanities and history in-depth study of the role of social media and a social curation ecosystem the role of hypertextuality and information architecture in digital curation study of collaboration and organizational dimensions in digital curation reviews of important web tools in digital humanities",2015-04-11
Oral History and Digital Humanities,Douglas A. Boyd,"Exploring the developments that have occurred in the practice of oral history since digital audio and video became viable, this book explores various groundbreaking projects in the history of digital oral history, distilling the insights of pioneers in the field and applying them to the constantly changing electronic landscape of today.",2014-12-17
Corpus Linguistics and Translation Tools for Digital Humanities,"Stefania M. Maci,Michele Sala","Presenting the digital humanities as both a domain of practice and as a set of methodological approaches to be applied to corpus linguistics and translation, chapters in this volume provide a novel and original framework to triangulate research for pursuing both scientific and educational goals within the digital humanities. They also highlight more broadly the importance of data triangulation in corpus linguistics and translation studies. Putting forward practical applications for digging into data, this book is a detailed examination of how to integrate quantitative and qualitative approaches through case studies, sample analysis and practical examples.",2022-07-14
The Digital Humanities and Literary Studies,Martin Paul Eve,"A comprehensive overview into digital literary studies that equips readers to navigate the difficult contentions in this space. The Literary Agenda is a series of short polemical monographs about the importance of literature and of reading in the wider world and about the state of literary education inside schools and universities. The category of 'the literary' has always been contentious. What is clear, however, is how increasingly it is dismissed or is unrecognised as a way of thinking or an arena for thought. It is sceptically challenged from within, for example, by the sometimes rival claims of cultural history, contextualized explanation, or media studies. It is shaken from without by even greater pressures: by economic exigency and the severe social attitudes that can follow from it; by technological change that may leave the traditional forms of serious human communication looking merely antiquated. For just these reasons this is the right time for renewal, to start reinvigorated work into the meaning and value of literary reading. You may have heard of the digital humanities—and what you may have heard may not have been good. Yet like an oncoming storm, the relentless growth of the use of digital methods for the study of literature seems inevitable. This book gives an insight into the ways in which digital approaches can be used to study literature and the ways in which humanistic study can be used to explore digital literature. Examining its subject across the axes of authorship, space, and visualization, maps and place, distance and history, and ethical approaches to the digital humanities, this book introduces newcomers to the topic while also offering plenty for seasoned digital humanities pros. Combining original research with third-party case studies and examples, this book will appeal both to students and researchers across all levels who wish to learn about digital literary studies.",2021-12-17
One Origin of Digital Humanities,"Julianne Nyhan,Marco Passarotti","This book gathers, and makes available in English, with new introductions, previously out of print or otherwise difficult to access articles by Fr Roberto Busa S.J. (1913 - 2011). Also included is a comprehensive bibliography of Busa, an oral history interview with Busa's translator, and a substantial new chapter that evaluates Busa's contributions and intellectual legacies. The result is a groundbreaking book that is of interest to digital humanists and computational linguists as well as historians of science, technology and the humanities. As the application of computing to cultural heritage becomes ever more ubiquitous, new possibilities for transmitting, shaping, understanding, questioning and even imagining the human record are opening up. Busa is considered by many to be among the pioneers in this field, and his research on projects like the Index Thomisticus is one of the earliest known examples of a humanities project that incorporated automation; it continues to be widely cited and used today. Busa published more than 350 academic articles and shorter pieces in numerous languages, but despite the unquestionable importance of his early work for understanding the history and development of fields like humanities computing and computational linguistics, a large part of his canon and thinking remained inaccessible or difficult to access until this book.",2019-11-26
The Routledge Companion to Media Studies and Digital Humanities,Taylor & Francis Group,"Although media studies and digital humanities are established fields, their overlaps have not been examined in depth. This comprehensive collection fills that gap, giving readers a critical guide to understanding the array of methodologies and projects operating at the intersections of media, culture, and practice. Topics include: access, praxis, social justice, design, interaction, interfaces, mediation, materiality, remediation, data, memory, making, programming, and hacking. Book jacket.",2020-06-30
Ontic Flows,"Matt Bernico,Manuela Kolke","At a time when the Digital Humanities proliferate throughout the university, new considerations have become necessary. The introduction of digital technology, while being common in the sciences, has lead to an uncoupling of the Digital Humanities from the Humanities. Ontic Flows: From Digital Humanities to Posthumanities attempts to theoretically reflect on this emerging field of the Digital Humanities with a particular focus on digital cultures, digital research, pedagogy and methodology. The goal of this anthology is to cause eruptions from within the strata of Digital Humanities - to broaden the horizon from a mere humanist to a posthuman inquiry. This collection of essays attempts to excavate the epistemological implications for methodological inquiry from a shifting perspective on posthuman ontology and agency. As bundled theoretical interventions, this anthology seeks to discover and model new trajectories toward a Posthumanities discipline.",2016-06-06
Performing Arts and Digital Humanities,Clarisse Bardiot,"Digital traces, whether digitized (programs, notebooks, drawings, etc.) or born digital (emails, websites, video recordings, etc.), constitute a major challenge for the memory of the ephemeral performing arts. Digital technology transforms traces into data and, in doing so, opens them up to manipulation. This paradigm shift calls for a renewal of methodologies for writing the history of theater today, analyzing works and their creative process, and preserving performances. At the crossroads of performing arts studies, the history, digital humanities, conservation and archiving, these methodologies allow us to take into account what is generally dismissed, namely, digital traces that are considered too complex, too numerous, too fragile, of dubious authenticity, etc. With the analysis of Merce Cunningham’s digital traces as a guideline, and through many other examples, this book is intended for researchers and archivists, as well as artists and cultural institutions.",2021-09-15
Victoria's Lost Pavilion,"Paul Fyfe,Antony Harrison,David B. Hill,Sharon L. Joffe,Sharon M. Setzer","This book explores the significance of the now-lost pavilion built in the Buckingham Palace Gardens in the time of Queen Victoria for understanding experiments in British art and architecture at the outset of the Victorian era. It introduces the curious history of the garden pavilion, its experimental contents, the controversies of its critical reception, and how it has been digitally remediated. The chapters discuss how the pavilion, decorated with frescos and encaustics by some of the most prominent painters of the mid-nineteenth century, became the center of a national conversation about an identity for British art, the capacity of its artists, and the quality of Royal and public taste. Beyond an examination of the pavilion's history, this book also introduces a digital model which restores the pavilion to virtual life, underscoring the importance of the pavilion for Victorian aesthetics and culture.",2017-04-15
The Routledge Companion to Digital Humanities and Art History,Kathryn Brown,"The Routledge Companion to Digital Humanities and Art History offers a broad survey of cutting-edge intersections between digital technologies and the study of art history, museum practices, and cultural heritage. The volume focuses not only on new computational tools that have been developed for the study of artworks and their histories but also debates the disciplinary opportunities and challenges that have emerged in response to the use of digital resources and methodologies. Chapters cover a wide range of technical and conceptual themes that define the current state of the field and outline strategies for future development. This book offers a timely perspective on trans-disciplinary developments that are reshaping art historical research, conservation, and teaching. This book will be of interest to scholars in art history, historical theory, method and historiography, and research methods in education.",2020
The Bloomsbury Handbook to the Digital Humanities,James O’Sullivan,"The Bloomsbury Handbook of the Digital Humanities surveys the key contemporary topics and debates within the discipline, focusing on pressing issues of perspective, methodology, access, capacity, and sustainability. The volume: Comprises a selection of essays from some of the field's most recognised and accomplished figures Reconsiders and reimagines the past, present, and future of DH Features an intuitive, five section structure: “Perspectives & Polemics”, “Methods, Tools & Techniques”, “Public Digital Humanities”, “Digital Humanities in Practice”, and “DH Futures”. Serves as a roadmap through the discipline's myriad formulations, failings, and possibilities Comprehensive in its scope and forensic in its scholarship, this book is essential reading for scholars and students of the digital humanities, whatever that may be, and whatever DH might become.",2022-09-22
Literary Simulation and the Digital Humanities,Manuel Portela,"How can we use digital media to understand reading, editing, and writing as literary processes? How can we design the digital medium in a way that goes beyond the printed codex? This book is an attempt to answer those fundamental questions by bringing together a new theory of literary studies with a highly dynamic digital environment. Using the digital archive of the modernist masterpiece Book of Disquiet, by the Portuguese writer Fernando Pessoa (1888-1935), as case study and site for simulation and practical experiment, Literary Simulation and the Digital Humanities demonstrates how computational approaches to texts can fully engage with the complexities of contemporary literary theory. Manuel Portela marshals a unique combination of theoretical speculation, literary analysis, and human imagination in what amounts to a significant critical intervention and a key advance in the use of digital methods to rethink the processes of reading and writing literature. The foregrounding of the foundational practices of reading, editing, and writing will be relevant for several fields, including literary studies, scholarly editing, software studies, and digital humanities.",2022-02-10
Greek and Roman Painting and the Digital Humanities,"Marie-Claire Beaulieu,Valérie Toillon","This volume is a groundbreaking discussion of the role of digital media in research on ancient painting, and a deep reflection on the effectiveness of digital media in opening the field to new audiences. The study of classical art always oscillates between archaeology and classics, between the study of ancient texts and archaeological material. For this reason, it is often difficult to collect all the data, to have access to both types of information on an equal basis. The increasing development of digital collections and databases dedicated to both archaeological material and ancient texts is a direct response to this problem. The book’s central theme is the role of the digital humanities, especially digital collection,s such as the Digital Milliet, in the study of ancient Greek and Roman painting. Part 1 focuses on the transition between the original print version of the Recueil Milliet and its digital incarnation. Part 2 addresses the application of digital tools to the analysis of ancient art. Part 3 focuses on ancient wall painting. The book will be of interest to scholars working in art history, classics, archaeology, and digital humanities.",2021-11-30
Digital Technology and the Practices of Humanities Research,Jennifer Edmond,"How does technology impact research practices in the humanities? How does digitisation shape scholarly identity? How do we negotiate trust in the digital realm? What is scholarship, what forms can it take, and how does it acquire authority? This diverse set of essays demonstrate the importance of asking such questions, bringing together established and emerging scholars from a variety of disciplines, at a time when data is increasingly being incorporated as an input and output in humanities sources and publications. Major themes addressed include the changing nature of scholarly publishing in a digital age, the different kinds of ‘gate-keepers’ for scholarship, and the difficulties of effectively assessing the impact of digital resources. The essays bring theoretical and practical perspectives into conversation, offering readers not only comprehensive examinations of past and present discourse on digital scholarship, but tightly-focused case studies. This timely volume illuminates the different forces underlying the shifting practices in humanities research today, with especial focus on how humanists take ownership of, and are empowered by, technology in unexpected ways. Digital Technology and the Practices of Humanities Research is essential reading for scholars, students, and general readers interested in the changing culture of research practices in the humanities, and in the future of the digital humanities on the whole.",2020-01-30
Thomas Pynchon and the Digital Humanities,Erik Ketzan,"The first book-length analysis of Pynchon's style, this book uses methodologies such as computational analysis, drawn from the Digital Humanities, to reveal previously unknown stylistic trends in this much-studied author's oeuvre. In doing so, it challenges critical assumptions regarding supposedly ""Pynchonesque"" stylistic features and presents the most extensive description thus far of Pynchon's ""late style"". It examines a range of texts from Pynchon's oeuvre, including Gravity's Rainbow, The Crying of Lot 49 and Mason & Dixon as well as contextualising his work alongside that of other key writers such as Toni Morrison, David Foster Wallace, Don DeLillo and Stephen King.",2021-11-18
Digital Humanities and Buddhism,Daniel Veidlinger,"IDH Religion provides a series of short introductions to specific areas of study at the intersections of digital humanities and religion, offering an overview of current methodologies, techniques, tools, and projects as well as defining challenges and opportunities for further research. This volume explores DH and Buddhism in four sections: Theory and Method; Digital Conservation, Preservation and Archiving; Digital Analysis; Digital Resources. It covers themes such as language processing, digital libraries, online lexicography, and ethnographic methods.",2019-06-04
Reading and Writing Knowledge in Scientific Communities,"Gérald Kembellec,Evelyne Broudoux","Practices associated with the culture of “scholarly” reading have been developed over many centuries and annotations themselves have become the subject of study, either as additional elements in connection with the original texts or as documents in their own right. The first “scholarly” reading techniques, seen historically from the 12th Century onwards, combine reading and writing in a process known as lettrure, involving both attentive reading and commentary. The Internet has transformed this activity, adding technical layers that relate both to the reading and writing process as well as to the circulation of texts; their potential and effective augmentation, diffusion, and reception. This book examines digitized reading and writing by focusing primarily on the conditions for the co-construction of scientific knowledge and its augmentation. The authors present numerous examples of studies and personal feedback concerning the intellectual process, open critical spaces, collaborative scholarly publishing, methods for the circulation and mediatization of knowledge, as well as the techniques and tools employed.",2017-07-20
Critical Digital Humanities,James E Dobson,"Can established humanities methods coexist with computational thinking? It is one of the major questions in humanities research today, as scholars increasingly adopt sophisticated data science for their work. James E. Dobson explores the opportunities and complications faced by humanists in this new era. Though the study and interpretation of texts alongside sophisticated computational tools can serve scholarship, these methods cannot replace existing frameworks. As Dobson shows, ideas of scientific validity cannot easily nor should be adapted for humanities research because digital humanities, unlike science, lack a leading-edge horizon charting the frontiers of inquiry. Instead, the methods of digital humanities require a constant rereading. At the same time, suspicious and critical readings of digital methodologies make it unwise for scholars to defer to computational methods. Humanists must examine the tools--including the assumptions that went into the codes and algorithms--and questions surrounding their own use of digital technology in research. Insightful and forward thinking, Critical Digital Humanities lays out a new path of humanistic inquiry that merges critical theory and computational science.",2019-03-16
